"report-file-0"
"Iteration" "mass_in etc.."
("Iteration" "mass_in" "mass-balance" "pressure_min")
361 0.3447019407058533 0.2669426472365991 -80110.04655050654
362 0.3447117454339302 0.2690100427164567 -78932.58733926568
363 0.3447215879593938 0.2711412316917407 -77840.93171862279
364 0.3447314082085193 0.2733344300960091 -76786.34606503532
365 0.3447411497474238 0.2755872893103996 -75569.15210829821
366 0.3447507598504929 0.2778976214709071 -74395.408829796
367 0.3447601899434182 0.2802629965315245 -73209.75381625665
368 0.3447693899179743 0.2826808068145583 -72107.64627167226
369 0.3447783161473796 0.2851481229587481 -70971.68583762347
370 0.3447869459128834 0.2876619263809126 -69958.3170155922
371 0.3447952474506802 0.2902190308448685 -68940.12074591361
372 0.3448031937870852 0.2928161201222739 -67740.62246785601
373 0.3448107618461706 0.2954495384381718 -66776.74717940313
374 0.3448179323300701 0.2981158056844645 -65762.00256410986
375 0.3448246894170944 0.300811271339593 -64762.08133912121
376 0.3448310207320268 0.3035319251564028 -63802.43728158346
377 0.3448369176796729 0.3062749631396296 -62760.94343248841
378 0.3448423746608848 0.3090361495288712 -61806.74411528699
379 0.3448473965779982 0.3118128885537937 -60810.1174057451
380 0.3448519777338072 0.3146035125750813 -59853.00441179603
381 0.3448561179566483 0.3174074700937374 -58791.94530355385
382 0.3448598218370757 0.3202318049803043 -57880.17879813272
383 0.3448630961838746 0.3230634580982144 -56766.1180650528
384 0.3448659501061836 0.3258940799217104 -55872.30792993166
385 0.344868463553598 0.3287278005376205 -54823.65560948554
386 0.3448705346757003 0.3315498019494419 -53946.35079898884
387 0.3448722204182855 0.3343688436528943 -52978.21642562786
388 0.3448735297134398 0.3371656925029443 -52337.60103793254
389 0.3448744783552566 0.3399538241510811 -51490.76334478411
390 0.3448750840337506 0.3427353478799434 -50773.64102658707
391 0.3448753651755952 0.3455112169404009 -49913.93001273251
392 0.3448753406469359 0.3482818312042346 -49125.18687089997
393 0.3448750288030921 0.3510191118406031 -48386.34273101704
394 0.3448744492379494 0.3537771691652061 -47609.46426551473
395 0.3448736211703879 0.356503061084466 -46701.60673453439
396 0.344872563491002 0.3592550230317633 -45777.58320529573
397 0.3448712952155899 0.3619733659645705 -44944.97465986782
398 0.3448698350562552 0.3646856948544226 -44195.20230348878
399 0.3448682018682417 0.3673998391133311 -43285.83808356755
400 0.3448664137241083 0.3701561765198643 -42506.9928054617
401 0.3448644884441173 0.3728782124733089 -41612.34486336594
402 0.3448624444699345 0.3756014928776651 -40601.39406748213
403 0.3448602972056136 0.3783336696393007 -39808.1736798309
404 0.3448580651607529 0.38107790511794 -38827.46299110456
405 0.3448558289893054 0.3838788857724864 -38069.94042236276
406 0.3448535599453544 0.386653540811321 -37232.21906370797
407 0.3448512076380607 0.3894472349693861 -36286.61626041472
408 0.3448488187232056 0.3922723376942858 -35548.86077426743
409 0.3448464042179797 0.3951333338545363 -34637.2624293023
410 0.344843979982041 0.3980348306477781 -33988.53973147061
411 0.3448415614891489 0.4010183776552281 -33021.359208315
412 0.3448391630886023 0.4040112311927699 -32179.21309058829
413 0.3448367968738975 0.4070664637720525 -31545.06209601199
414 0.3448344709434478 0.4102190822864418 -30822.61637555337
415 0.3448321999467612 0.4134354399112846 -30009.52429313009
416 0.3448299921667712 0.4167267583482761 -29309.65817396299
417 0.3448278573242068 0.4201146369537022 -28437.52480809656
418 0.3448258042114423 0.4235951613471742 -27665.27795255319
419 0.3448238431907038 0.4272229995135827 -26910.0295301606
